id,domain,duration,university,fees,cgpa,ielts,independent_scholarship,university_scholarship
1109,Biological Photography and Imaging,12,University of Nottingham,28600,2.2,6.5,1,1
1110,Intercultural Business Communication,12,University of Central Lancashire (UCLan),16900,2.1,6.5,1,0
1111,Clinical Cognitive Neuroscience,12,Sheffield Hallam University,17205,0,6.5,0,1
1112,iQTS Secondary Physics (11-16),12,University of the West of England (UWE Bristol),9250,2.2,0,1,0
1113,Public Health,24,Unicaf - University of Suffolk,0,2.2,6,0,1
1114,Data Science,12,University of Bristol,34200,2.1,0,1,1
1115,Applied Health Research,24,University of Liverpool,27800,2.1,0,1,1
1116,Investment and Risk Finance,12,University of Westminster,15000,2.2,6.5,0,1
1117,"Security, Conflict and International Development (Distance Learning)",12,University of Leicester,8600,2.1,6.5,1,0
1118,Nutritional Sciences,12,University of Nottingham,30200,2.2,6.5,0,0
1119,Physical Education and Youth Sport,12,Leeds Beckett University,17500,2.2,6.5,1,0
1120,Health Economics and Health Technology Assessment,12,University of Glasgow,30240,2.1,6.5,1,1
1121,Translation Studies,12,University of Glasgow,25290,2.1,7,1,0
1122,Music Education - Instrumental and Vocal Teaching,12,University of York,23900,2.1,6.5,0,0
1123,Computer Science (Conversion),30,University of Liverpool Online Programmes,6426,2.2,6.5,0,0
1124,Haematology,24,Learna,4200,0,0,0,0
1125,Geographic Information Systems (GIS) (full-time),12,Ulster University,15840,2.2,6,0,0
1126,Middle East Politics,12,The University of Exeter,24300,2.2,6.5,0,1
1127,Corporate Brand Management,12,Brunel University London,25000,2.2,6.5,1,1
1128,"Design, Innovation and Brand Management",12,University for the Creative Arts,18000,0,0,0,0
1129,International Hospitality and Tourism Management,12,Coventry University,20050,2.2,6.5,0,0
1130,Occupational Therapy (Pre-Registration),24,Cardiff University,0,0,0,0,0
1131,Organisational Psychology,12,University of Liverpool,27500,2.1,6.5,1,1
1132,Education,12,University of Huddersfield,16000,2.1,0,0,1
1133,Master of Business Administration (Global),24,University of Derby,6525,2.1,6,0,0
1134,Sustainable Urban Management,3,Leeds Beckett University,2000,2.2,6,0,0
1135,Health Technology,12,University of the West of England (UWE Bristol),17000,2.2,0,0,0
1136,"Brands, Communication and Culture - Pre-Master's Programme",12,ONCAMPUS London,20580,0,5.5,1,1
1137,Scientific Computing with Data Science,12,University of Bristol,34100,2.1,0,0,1
1138,Modern and Contemporary History,12,University of Birmingham,23310,2.1,6.5,1,1
1139,Dietetics,24,University College Birmingham,14500,0,0,0,0
1140,Secondary Science with Biology,12,University of Huddersfield,16000,2.2,0,1,1
1141,Strategic Marketing with Digital Media Management,12,University of Hertfordshire,16450,2.2,6.5,0,0
1142,Secondary Science with Physics,12,London Metropolitan University,17600,2.2,6,1,0
1143,Secondary Education - Drama,12,University of Wolverhampton,14950,0,6,1,0
1144,Pre-registration Nursing (Mental Health),24,University of Plymouth,19000,2.2,7,1,1
1145,Professional Practice Part 3 RIBA,12,London South Bank University,0,0,6.5,1,1
1146,Research Methods in Psychology,12,University of Reading,26950,2.1,6.5,1,1
1147,International Security Studies,12,University of Leicester,18950,2.1,6.5,0,1
1148,Nursing (Adult) with NMC Registration,24,University of Derby,14900,2.2,6.5,0,0
1149,Biomedical Engineering,12,Loughborough University,28750,2.2,6.5,0,1
1150,Sport Management,12,University of Bath,28300,2.1,7,1,0
1151,Public Health Intelligence - Pre-Master Programme (PMP),12,ONCAMPUS Southampton,23475,0,7,0,1
1152,Digital Marketing and Analytics with Industrial Placement,24,University of Kent,22700,2.2,0,0,1
1153,Entrepreneurship,12,Richmond American University in London,22890,2.2,0,1,0
1154,Theology and Religion,12,University of Birmingham,21840,2.1,6.5,0,0
1155,Translation and Professional Language Skills (Russian and Italian),12,University of Bath,26500,2.1,7.5,1,1
1156,Economics - Pre-Master's Programme,9,University of Reading,21600,0,5.5,0,0
1157,Secondary Education - Physical Education,12,University of Wolverhampton,14950,0,6,0,1
1158,"Accounting, Financial Management and Digital Business",12,University of Reading,23900,2.1,6.5,0,0
1159,Investments,12,University of Birmingham,34133,2.1,7,0,1
1160,Finance,12,University of Dundee,20900,2.2,6,0,0
1161,International Commercial Law  - Full-time (Online),24,The University of Law,11350,2.2,0,0,0
1162,Sustainable Business Leadership (Professional Practice),18,University of Huddersfield,17900,2.1,7,1,0
1163,International Relations and Global Crises,12,Sheffield Hallam University,17205,2.2,6.5,1,0
1164,Human Rights and International Politics,12,University of Glasgow,24000,2.1,6.5,0,1
1165,Responsible Tourism Management,9,Leeds Beckett University,11665,2.2,6,0,1
1166,International Relations,12,University of Reading,22350,2.2,6.5,0,0
1167,Financial Technology,12,University of Nottingham,30200,2.1,6.5,0,0
1168,Management of Innovation - Pre-Master's Programme,12,ONCAMPUS London,20580,0,5.5,1,0
1169,Work Psychology - Pre-Master Programme,12,Loughborough University,23280,0,0,0,0
1170,Education,12,University of Nottingham,25250,2.2,6.5,1,0
1171,Trauma Informed Practice,24,University of Nottingham,25250,2.2,6.5,0,0
1172,Sociotechnical Futures and Digital Methods,12,University of Bath,0,2.1,0,0,1
1173,Creative Technology,12,Leeds Beckett University,17500,2.2,6,1,1
1174,Information Systems and Operations Management,12,University of Nottingham,28600,2.1,6.5,0,1
1175,Marketing Management (Advanced Standing),12,University of Westminster,6500,2.2,6.5,0,0
1176,Special and Inclusive Education,12,University of Nottingham,25250,2.2,6.5,1,1
1177,International Law,12,The University of Exeter,24300,2.2,6.5,0,1
1178,Mining and Minerals Engineering,24,The University of Exeter,28500,2.1,7,1,1
1179,Digital Strategy and Information Systems - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5.5,0,0
1180,Town and Regional Planning,12,University of Liverpool,22400,2.1,0,1,0
1181,Civil Engineering with Management,12,The University of Exeter,29100,2.2,6.5,0,0
1182,Fintech with Business Analytics,12,University of Westminster,19000,2.2,6.5,0,0
1183,Applied Public Health,12,University of Central Lancashire (UCLan),16900,0,6.5,0,0
1184,Chemical Engineering Science,12,University of Birmingham,27360,2.1,6,1,0
1185,International Energy Studies and Energy Economics,12,University of Dundee,20900,2.2,6.5,0,0
1186,International Marketing,12,Coventry University,22550,2.2,6.5,1,0
1187,Public History - Pre-Master Programme,12,ONCAMPUS London,20580,0,5.5,0,1
1188,Project Management,24,Unicaf - Liverpool John Moores,0,2.2,6,1,0
1189,Physics,24,University of Liverpool,27800,1,0,0,1
1190,Operational Research and Finance - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5,0,0
1191,Human Resource Management top-up,12,Kingston University,16600,0,6.5,1,0
1192,Design and Branding Strategy,12,Brunel University London,23615,2.2,6.5,0,0
1193,Creative Writing (Distance Learning),12,Kingston University,16200,0,6.5,0,0
1194,Corporate Social Responsibility and Sustainability - Part-time (1 year),12,The University of Law,11350,2.2,0,1,1
1195,Digital Design (Motion Graphics),12,Brunel University London,25000,2.2,0,1,0
1196,Web Design and Content Planning,12,University of Greenwich,17450,2.2,0,0,1
1197,Environmental Engineering,12,Queen's University Belfast,25800,2.2,6.5,0,1
1198,Legal Practice Course (LPC) - part-time evening,22,"The University of Law, Postgraduate programmes",8618,0,6.5,0,0
1199,Education (Leadership and Policy),12,University of Bristol,27200,0,6.5,0,0
1200,Mechanical Engineering Design,12,Bournemouth University,17750,2.2,6,1,1
1201,Chemical Engineering Science,12,University of Birmingham,27360,2.1,6,0,1
1202,International Energy Studies and Energy Economics,12,University of Dundee,20900,2.2,6.5,1,0
1203,Celtic Archaeology,12,Bangor University,17000,2.2,0,0,0
1204,Design and Branding Strategy,12,Brunel University London,23615,2.2,6.5,0,0
1205,Finance - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,1,0
1206,Medieval History - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,1,1
1207,Global Media and Digital Cultures (Online),24,SOAS University of London,6000,0,6.5,0,1
1208,Quantity Surveying,12,Glasgow Caledonian University,16200,2.2,0,0,1
1209,Business Analytics,12,University of Kent,22700,2.2,6.5,0,0
1210,Marketing Management (Online),24,University of Aberdeen Business School,18210,2.2,0,0,1
1211,Computer Animation and Visual Effects,12,Bournemouth University,17500,2.2,6.5,0,1
1212,Military History,24,University of Wolverhampton,4198,0,6.5,1,0
1213,Medical Education,12,Cardiff University,24450,0,0,0,0
1214,International Oil and Gas Law and Policy,12,University of Dundee,20900,2.2,6.5,0,0
1215,Artificial Intelligence for the Creative Industries,12,University of York,29400,2.1,0,1,1
1216,Intellectual Property and Information Law,12,University of Hertfordshire,16450,2.2,6,0,1
1217,Advanced Clinical Practice (Neurological Rehabilitation),12,Brunel University London,23615,0,0,1,1
1218,Electrical and Electronic Engineering,12,University of Greenwich,16300,2.2,6.5,1,1
1219,Sport Management,12,Loughborough University,29750,2.1,6.5,1,0
1220,Real Estate Finance,12,University of Reading,25900,2.1,6.5,0,0
1221,Early Modern History (Part time),24,University of East Anglia,21200,2.1,6,1,1
1222,Child Health,24,University of Liverpool,27800,2.1,0,0,1
1223,Development Economics,12,SOAS University of London,25320,2.2,6.5,1,1
1224,Clinical Education,12,The University of Exeter,27500,2.2,6.5,0,0
1225,Supply Chain Management - Pre-Master’s Programme,12,ONCAMPUS Aston,20370,0,5,0,0
1226,Corporate Governance and Business Ethics - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,0,0
1227,Laws - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5.5,1,1
1228,Public Health,16,Glasgow Caledonian University,15500,2.2,6.5,1,1
1229,Digital Marketing,30,University of Liverpool Online Programmes,6426,2.1,6.5,0,0
1230,Drug Discovery and Development,12,Faculty of Biological Sciences,33000,2.1,6.5,1,0
1231,Secondary Education (Science with Chemistry) with Recommendation for QTS,12,Brunel University London,19430,2.2,7,1,0
1232,Global Mental Health and Wellbeing,24,University of Essex Online,6214,0,6.5,1,0
1233,Human Rights and Global Ethics (Distance Learning),12,University of Leicester,8600,2.1,6.5,1,1
1234,Social Work,24,University of Greenwich,8150,2.2,7,1,1
1235,Information Management and Preservation,12,University of Glasgow,25290,2.1,6.5,1,0
1236,Research in Human Geography,12,University of Birmingham,23310,2.1,6,1,0
1237,Events Management,12,Bournemouth University,17000,2.2,6,0,0
1238,Governance and Devolution,12,Cardiff University,22700,0,0,0,1
1239,Management,12,Loughborough University,24500,2.2,6.5,1,1
1240,Analytical and Pharmaceutical Science,12,Loughborough University,28750,2.2,6.5,0,1
1241,Interpreting and Translating (French and Spanish),12,University of Bath,28300,2.1,7.5,0,0
1242,Advanced Quantitative Methods,12,University of Bristol,20700,2.1,7,0,0
1243,International Commercial Law - Full-time,12,"The University of Law, Postgraduate programmes",17000,2.2,0,1,0
1244,Finance and Management,12,University of York,32260,2.1,0,0,0
1245,Endodontics,36,University of Birmingham,11250,0,0,0,0
1246,Sonic Arts,12,Leeds Beckett University,9000,2.2,6,0,1
1247,Corporate Social Responsibility and Sustainability - Full-time,12,"The University of Law, Postgraduate programmes",18500,2.2,0,1,1
1248,Product Design,12,University of Hertfordshire,15450,2.2,6.5,0,1
1249,Contemporary Textiles,12,University of Hertfordshire,15450,2.2,6.5,0,0
1250,International Relations,12,Brunel University London,23615,2.2,6.5,0,0
1251,International Business,12,University of York,28680,2.2,6.5,1,1
1252,Psychology,12,London South Bank University,16900,2.2,7,1,0
1253,Music,12,University of Bristol,28400,2.1,6.5,1,1
1254,Advanced Mechanical Engineering with Management,12,University of Leicester,24500,2.2,6.5,1,1
1255,Psychology (Conversion),12,University of Dundee,21900,2.2,6,0,0
1256,MSc by Research Life Sciences,12,University of Dundee,28385,2.2,6.5,0,0
1257,Educational Research,12,The University of Exeter,22700,2.2,6.5,0,1
1258,Political Communication,12,Brunel University London,21260,2.2,6.5,0,0
1259,International History,12,University of Leeds,0,2.1,0,1,0
1260,Real Estate Management and Investment,12,Edinburgh Napier University,17280,2.2,6,1,0
1261,"Strategic Communication, Leadership and Sustainability",12,University of Huddersfield,16000,2.2,6,1,1
1262,"Infection, Immunity and Inflammation",12,University of Glasgow,30240,2.1,6.5,0,1
1263,Entrepreneurship and Innovation - Pre-Master's Programme,9,University of Reading,21600,0,5.5,0,0
1264,Film (Cinematography),12,University of South Wales,0,2.2,6,0,1
1265,Chinese-English Translation,12,University of Bristol,31300,2.1,7,0,0
1266,Ceramics,12,University of Central Lancashire (UCLan),15500,2.2,6.5,0,1
1267,Creative Writing Scriptwriting,12,University of East Anglia,21200,2.1,7,0,1
1268,Exercise and Sports Medicine (Football),13,University of Birmingham,28350,2.1,6.5,0,1
1269,Politics,12,Queen's University Belfast,21500,2.1,6.5,0,0
1270,Advertising,12,Bournemouth University,17500,2.2,6.5,1,1
1271,Advanced Engineering Management,12,Leeds Beckett University,17500,2.2,6,0,0
1272,Sport and Exercise Psychology,12,Leeds Beckett University,3300,2.2,6.5,0,1
1273,Finance,12,Coventry University,20050,2.2,6.5,1,1
1274,Sustainable Development in Practice,12,University of the West of England (UWE Bristol),17250,2.2,6.5,1,1
1275,Applied Meteorology and Climate with Management,12,University of Reading,25800,2.2,6.5,0,1
1276,Independent and Supplementary Prescribing,6,The University of Exeter,2300,2.2,6.5,1,0
1277,"Diplomacy, International Business and Trade - Pre-Master Programme",12,Loughborough University,23280,0,0,0,0
1278,"Speech, Language and Sociolinguistics",12,University of Glasgow,24000,2.1,7,0,0
1279,Languages and Translation Studies,12,Cardiff University,24450,2.1,7,1,0
1280,History,24,University of Liverpool,27800,2.1,0,1,1
1281,"Security, Peace-Building and Diplomacy",12,Loughborough University,24500,2.2,6.5,0,0
1282,Equitation Science,36,University of Plymouth,0,0,6.5,1,0
1283,Advanced Critical Care Practitioner,12,University of Plymouth,0,0,6.5,0,0
1284,Business Management,12,Edinburgh Napier University,18800,2.2,6,1,0
1285,Biomedical and Molecular Sciences with Business,12,University of Dundee,21900,2.2,6.5,1,1
1286,Leadership for Sustainable Rural Development,12,Queen's University Belfast,21500,2.2,6,0,0
1287,Risk and Finance - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5,0,0
1288,Business and Public Service Interpreting and Translation Studies,12,University of Leeds,0,0,0,1,1
1289,Nursing - Advancing Professional Practice,12,Glasgow Caledonian University,15500,2.2,6.5,0,0
1290,Women's Health,24,Learna,4814,0,0,0,1
1291,The Loughborough Full-Time Master of Business Administration,12,Loughborough University,32000,2.2,6.5,1,0
1292,Medical Art,12,University of Dundee,21900,2.2,6.5,0,1
1293,Practical Dermatology,12,Cardiff University,9450,0,0,0,0
1294,Law (Conversion),11,"The University of Law, SQE",15050,2.2,0,1,1
1295,Archaeology,12,University of Liverpool,21850,2.1,0,0,0
1296,Mathematical Sciences,12,University of Liverpool,26400,2.1,0,0,0
1297,Secondary Initial Teacher Education Business,12,University of the West of England (UWE Bristol),15850,2.2,6.5,0,0
1298,Comparative Literature,12,University of St Andrews,25880,2.1,7,0,1
1299,Secondary Initial Teacher Education Modern Languages,12,University of the West of England (UWE Bristol),15850,2.2,6.5,1,0
1300,Emergency and Incident Management,12,Coventry University,6200,2.2,6,1,0
1301,Archaeology,12,University of Liverpool,21850,2.1,0,1,1
1302,Mathematical Sciences,12,University of Liverpool,26400,2.1,0,1,1
1303,Eye and Vision Sciences,24,University of Liverpool,27800,2.1,0,0,0
1304,Business Management with a Professional Placement Year,24,Cardiff University,27200,0,0,0,0
1305,Applied Clinical Psychology,24,University of Bath,28300,2.1,6.5,0,0
1306,Comparative Literature,12,University of St Andrews,25880,2.1,7,0,1
1307,Secondary Initial Teacher Education Modern Languages,12,University of the West of England (UWE Bristol),15850,2.2,6.5,0,1
1308,Interpreting and Translation,12,University of Central Lancashire (UCLan),16900,2.2,6.5,1,0
1309,Tourism and Hospitality Management,12,University of Plymouth,18400,0,6.5,0,1
1310,Data Science,16,University of Essex Online,6213,0,6.5,0,0
1311,Medical Art,12,University of Dundee,21900,2.2,6.5,0,0
1312,Practical Dermatology,12,Cardiff University,9450,0,0,0,0
1313,Law (PGDL) - Part-time evening,20,"The University of Law, SQE",6570,2.2,0,1,1
1314,Master of Law (General) - Full-time (Online),12,The University of Law,11350,2.2,0,1,1
1315,Computational and Data Journalism,12,Cardiff University,23450,0,0,0,0
1316,"Human Rights, Conflict and Justice",12,SOAS University of London,25740,2.1,6.5,1,0
1317,Muslim Minorities in a Global Context (Online),24,SOAS University of London,6000,2.1,6.5,0,0
1318,International Business Management,12,Glasgow Caledonian University,17950,2.2,6,0,0
1319,Advanced Software Engineering,12,University of Leicester,23650,2.1,6,0,1
1320,English Studies,12,University of Nottingham,22600,2.1,6.5,0,1
1321,Business Analysis and Finance,12,University of Leicester,23650,2.2,6.5,1,1
1322,Hispanic Studies,12,University of Birmingham,21840,2.1,6.5,0,1
1323,Music and Sound Technology (Audio Engineering),12,University of Hertfordshire,16450,0,6.5,1,0
1324,International Events Management,12,Leeds Beckett University,11665,2.2,6,0,0
1325,Wireless Communications and Signal Processing,12,University of Bristol,34200,2.1,6.5,1,1
1326,Teaching English to Speakers of Other Languages (TESOL) (with Placement),18,University of Huddersfield,17000,2.2,6.5,1,1
1327,Mental Health Research,12,University of York,22040,2.1,0,0,1
1328,Global Operations and Supply Chain Management,12,University of Derby,14900,2.2,0,0,1
1329,Education Studies (with Professional Experience),24,University of Portsmouth,17900,2.2,6.5,1,1
1330,Public International Law - Part-time,24,"The University of Law, Postgraduate programmes",9250,2.2,0,1,1
1331,Business Administration - Global Finance,12,University of Derby,16500,2.1,0,0,1
1332,"Law, Technology and Innovation",12,University of South Wales,0,2.2,0,1,1
1333,Advanced Restorative Dental Therapy (Distance Learning) (Top-Up),12,University of Portsmouth,7100,0,0,0,0
1334,Ecology and Environmental Biology,12,University of Glasgow,28260,2.1,6.5,0,1
1335,Education,12,University of Greenwich,16300,2.2,6.5,0,1
1336,Civil Engineering Technical Route,12,Coventry University,18600,2.2,6.5,0,0
1337,Leading and Developing Services,60,Bournemouth University,0,2.2,6,1,1
1338,Sociology,12,University of Bristol,27400,2.1,6.5,0,1
1339,Law,24,University of Bristol,26700,2.1,7,0,1
1340,Social and Political Theory - Pre-Master's Programme,12,"Birkbeck, University of London",20580,0,5.5,1,1
1341,Comics and Graphic Novels,12,University of Dundee,21900,2.1,6.5,0,1
1342,Digital Marketing - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5.5,1,1
1343,Land and Hydrographic Surveying with Work Placement,15,University of Glasgow,28260,2.1,6.5,0,0
1344,Interpreting and Translating (Italian and Spanish),12,University of Bath,28300,2.1,7.5,0,1
1345,Advanced Physiotherapy Practice,12,Glasgow Caledonian University,15500,2.2,6,1,1
1346,Public Health,30,University of Liverpool Online Programmes,6426,2.1,6.5,0,0
1347,Business Administration,12,University of Kent,24600,2.2,6.5,0,0
1348,Management (Marketing),12,University of Bristol,31500,2.1,7,1,0
1349,Exercise and Sport Sciences,12,University of Birmingham,23520,2.1,6,1,1
1350,Banking and Finance,12,Brunel University London,26400,2.2,6.5,1,1
1351,Management with Human Resources,12,Bournemouth University,17500,2.2,6,0,1
1352,Health Psychology,12,University of the West of England (UWE Bristol),16500,2.1,6.5,0,1
1353,Global Heritage,12,Cardiff University,0,0,0,0,0
1354,Geospatial Geoscience and Modelling,12,University of Glasgow,28260,2.1,0,1,0
1355,Applied Neuropsychology,12,University of Bristol,21200,2.1,0,0,1
1356,Academic Practice (Online),30,University of Liverpool,16065,2.1,0,1,0
1357,Geography,24,The University of Exeter,22600,2.1,6.5,0,1
1358,Diagnostic Radiography and Imaging (Pre-Registration),24,University of Hertfordshire,18950,2.1,7,1,1
1359,Construction Project Management (Work Experience),24,Sheffield Hallam University,8602,2.2,6.5,1,0
1360,Spanish Studies,12,University of Liverpool,21850,2.1,0,1,0
1361,Space Systems Engineering - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5,0,1
1362,Cyber Security and Digital Forensics (Distance Learning),24,University of Portsmouth,5250,2.1,0,0,1
1363,International Tourism and Aviation Management (Work Experience),24,Sheffield Hallam University,8602,2.2,6.5,1,0
1364,Multimedia Journalism (Broadcast),12,University of Westminster,17000,2.1,7,1,1
1365,Education (Educational Practice),8,University of Essex Online,4143,0,6.5,1,1
1366,Science - Research,36,University of Greenwich,16300,2.2,6.5,0,1
1367,Biblical Languages and Literature,12,University of St Andrews,25880,2.1,7,0,1
1368,International Political Theory,12,University of St Andrews,29950,2.1,7,1,1
1369,Curation - Contemporary Art and Cultural Management,12,The University of Exeter,25000,2.1,6.5,0,0
1370,Advanced Engineering Design,12,Brunel University London,25000,2.2,6,1,1
1371,Business Analytics and Consultancy,12,University of Hertfordshire,16450,2.2,6.5,1,0
1372,Primary (7-11) (Key Stage 2),12,London Metropolitan University,17600,2.2,6,0,0
1373,Financial Technology with Data Science,12,University of Bristol,34200,2.1,6.5,1,1
1374,International Law,12,SOAS University of London,25740,2.1,6.5,0,0
1375,Sustainable Heritage Management,12,University of Liverpool,24800,2.1,0,0,1
1376,Data Science (Online),36,University of St Andrews,6000,2.1,7,1,0
1377,"Violence, Conflict and Development",12,SOAS University of London,25320,2.2,6.5,1,1
1378,Evolution and Genomics,12,University of East Anglia,25150,2.1,7,0,0
1379,International Business and Sustainability,12,King Stage Business School,12000,0,6,1,0
1380,Landscape Architecture,12,UCL,34400,2.2,7,0,0
1381,Digital Art and Technology,12,University of Plymouth,16500,0,6.5,1,0
1382,Engineering Management,12,Coventry University,20050,2.2,6.5,1,1
1383,"Hispanic, Portuguese and Latin American Studies",12,University of Bristol,20700,2.1,6.5,1,1
1384,Childhood Practice,36,University of Glasgow,482,0,0,1,0
1385,International Law and Security,12,University of Birmingham,24120,0,0,0,0
1386,Construction Management and International Development,12,University of Reading,26950,2.2,6.5,1,1
1387,Financial Risk Management - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,1,1
1388,Working for Children and Young People (Youth Work Initial Qualifying),12,University of South Wales,15100,2.2,6,1,1
1389,International Management,12,University of Leicester,23650,2.2,6.5,0,0
1390,Spinal Pain,12,University of Birmingham,23520,2.1,6.5,0,1
1391,Strategic Marketing with Brand Leadership (Experiential Learning),24,University of Hertfordshire,17950,2.2,6.5,0,0
1392,Environmental Health,12,Leeds Beckett University,17500,2.2,6,1,1
1393,Childhood Studies and Early Years,12,Leeds Beckett University,9846,2.2,6,1,1
1394,Translation and Interpreting,12,University of Westminster,17000,2.2,6.5,0,0
1395,International Tourism Management,12,Sheffield Hallam University,17205,0,6.5,1,1
1396,"Media, Communications and International Journalism",12,University of Glasgow,25290,2.1,6.5,0,0
1397,Genomics Geoinformatics - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5.5,0,1
1398,"Humanitarianism, Aid and Conflict",12,SOAS University of London,25320,2.2,6.5,0,0
1399,Wireless and Microwave Communication Engineering with a Research Year,24,Cardiff University,28200,0,0,0,1
1400,Marketing,12,Durham University,31500,2.1,7,1,1
1401,Conservation Studies (by research),12,University of York,22200,0,6.5,0,0
1402,Nanotechnology and Microfabrication,12,Bangor University,18300,2.1,0,1,0
1403,International Money and Banking,12,University of Birmingham,26280,2.1,6.5,0,0
1404,Advanced Practice in Health Care,12,University of Glasgow,28260,0,6.5,0,0
1405,Advanced Mechanical Engineering,12,University of Leicester,21850,2.2,6,0,1
1406,Psychology of Exercise Rehabilitation,12,Loughborough University,30500,2.1,6.5,0,1
1407,Public Health (Online),30,University of Liverpool,6426,2.1,6.5,1,0
1408,"Law, Environment, Sustainability and Business",12,University of Bristol,26700,2.1,0,1,1
1409,Electrical Engineering and Electronics,24,University of Liverpool,27800,2.1,0,0,0
1410,Drug Discovery and Toxicology with Advanced Research,24,University of Hertfordshire,18950,0,6.5,0,0
1411,Genomic Medicine,12,The University of Exeter,29700,2.2,6.5,1,1
1412,Building Information Modelling and Digital Transformation (BIM-DT),12,University of Liverpool,24800,2.1,0,1,0
1413,Biomedical Imaging and Biosensing,24,University of Liverpool,27800,2.1,0,1,0
1414,Spatial Planning and Development,12,University of Reading,17300,2.1,6.5,1,1
1415,Early Childhood Education,12,University of Hertfordshire,15450,2.2,7,1,0
1416,Medieval Studies,12,University of St Andrews,25880,2.1,7,0,1
1417,French,12,University of Bristol,20700,2.1,6.5,0,1
1418,Sustainable Mega-Buildings,12,Cardiff University,28200,0,0,0,1
1419,Creative Writing - Translation,12,Fairleigh Dickinson University,19410,0,6,0,1
1420,Health Psychology,12,University of Portsmouth,19200,2.1,6.5,0,0
1421,Education (Education and Climate Change),12,University of Bristol,27200,0,0,1,1
1422,Endodontics,24,University of Glasgow,50490,0,7,1,0
1423,Law,12,University of Glasgow,27090,2.1,7,1,1
1424,Forensic Art and Facial Identification,12,University of Dundee,21900,2.1,6.5,0,0
1425,Education,12,London Metropolitan University,18150,2.2,6.5,0,1
1426,Data Science,12,University of East Anglia,22900,2.1,6,1,0
1427,Sport and Exercise Medicine,48,University of Bath,7795,0,0,0,0
1428,Management (International Business) - Pre-Master's Programme,9,University of Reading,21600,0,5,0,1
1429,ELT-TESOL Studies - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5.5,0,1
1430,"Security, Conflict and Human Rights",12,University of Bath,22400,2.1,6.5,1,1
1431,Master of Business Administration (Strategic Project Management),24,Edinburgh Napier University,10260,0,6,0,0
1432,Media Industries,12,University of Leeds,0,2.1,0,1,1
1433,Digital Marketing,12,University of the West of England (UWE Bristol),16750,2.2,6.5,1,1
1434,Animation,12,University of Hertfordshire,16450,2.2,6.5,0,1
1435,Environmental Geology and Land Contamination,12,University of Portsmouth,19200,2.2,6.5,0,0
1436,Human Factors and Ergonomics for Patient Safety,12,Loughborough University,9366,2.1,6.5,0,0
1437,International Business Economics,12,Coventry University,20050,2.2,6.5,1,0
1438,International Business,12,University of Nottingham,28600,2.1,6.5,0,1
1439,Community Health Studies (Specialist Practitioner District Nursing),36,University of South Wales,0,0,0,1,1
1440,Advanced Physiotherapy,36,University of Hertfordshire,825,0,7,1,0
1441,Law (General),12,University of Liverpool,22400,2.1,0,0,0
1442,Geography,24,University of Liverpool,27800,2.1,0,0,1
1443,Economic Crime,12,University of Portsmouth,17200,2.2,6.5,0,1
1444,Sport Business Management,12,Leeds Beckett University,17500,2.2,6.5,1,1
1445,Strategic Leadership,36,Loughborough University,28500,2.2,6.5,1,0
1446,Marketing and Financial Management,9,The University of Exeter,31000,2.2,0,0,1
1447,International Business with Project Management (Professional Practice),18,University of Huddersfield,17900,2.1,7,0,1
1448,Law,12,Queen's University Belfast,21500,2.2,6.5,1,0
1449,Legal Practice,12,University of Westminster,13000,2.2,6.5,0,0
1450,Public Procurement Law and Policy,24,University of Nottingham,13000,2.1,6.5,0,1
1451,Bar Training Course,12,University of the West of England (UWE Bristol),15750,2.2,6.5,1,1
1452,Secondary Initial Teacher Education Art and Design,12,University of the West of England (UWE Bristol),15850,2.2,6.5,0,0
1453,Sustainable Environmental Management,12,University of Plymouth,19800,0,6.5,0,1
1454,Natural Resources,12,University of Greenwich,17450,0,6,0,1
1455,Economics and Finance - Pre-Master's Programme,9,University of Reading,21600,0,5.5,1,0
1456,Entrepreneurship and Innovation,12,University of Reading,21900,2.2,6.5,0,1
1457,Social History,12,Leeds Beckett University,17500,2.2,6,1,0
1458,Medical Imaging,12,University of Dundee,25300,2.2,6,0,1
1459,Accounting and Finance,12,Cardiff University,29200,2.1,6.5,0,0
1460,Reparatory Justice,12,University of Glasgow,24000,2.1,0,0,0
1461,International Commercial Law and Arbitration with Work Experience,24,University of Hertfordshire,17950,2.2,6,1,1
1462,Prosthetics for Film and Television,18,University College Birmingham,14500,2.2,6,0,1
1463,Higher Education,12,University of Huddersfield,575,2.2,6,1,1
1464,International Law,12,University of Huddersfield,16000,2.2,6,1,0
1465,Business Management - Finance,12,European School of Economics,28000,2.2,6.5,1,0
