Domain,Uni Name,Description
Marine and Coastal Sustainability,The University of Exeter,"9,645,785 PKR / year
1 year
This Marine and Coastal Sustainability MSc programme from The University of Exeter core modules examine the interlinked nature of social and ecological systems, considering the role of marine resources in contributing to people’s wellbeing and livelihoods, how people contribute to and are impacted by environmental change."
Nutrition and Dietetics (pre-registration),University of Hull,"4,910,581 PKR / year
2 years
Dietitians are experts in nutrition who can assess, diagnose and treat dietary and nutrition-related problems. The Nutrition and Dietetics (pre-registration) programme of the University of Hull will give you the knowledge, skills and behaviours to enable you to be eligible to apply to be a dietitian through the Health and Care Professions Council (HCPC)."
Marine and Coastal Sustainability,The University of Exeter,"9,645,785 PKR / year
1 year
This Marine and Coastal Sustainability MSc programme from The University of Exeter core modules examine the interlinked nature of social and ecological systems, considering the role of marine resources in contributing to people’s wellbeing and livelihoods, how people contribute to and are impacted by environmental change."
Nutrition and Dietetics (pre-registration),University of Hull,"4,910,581 PKR / year
2 years
Dietitians are experts in nutrition who can assess, diagnose and treat dietary and nutrition-related problems. The Nutrition and Dietetics (pre-registration) programme of the University of Hull will give you the knowledge, skills and behaviours to enable you to be eligible to apply to be a dietitian through the Health and Care Professions Council (HCPC)."
Corporate Governance with Company Law Online,The University of Law Business School Online,"3,963,541 PKR / year
1 year
Throughout this Corporate Governance with Company Law Online course from The University of Law Business School you will develop your professional skills and explore the most important concepts in corporate governance and company law frameworks, with a focus on business ethics and the ethical and legal dilemmas surrounding business decision making."
Clinical Practice (Advanced Critical Care Practice),Northumbria University,"Tuition unknown
3 years
The Clinical Practice (Advanced Critical Care Practice) programme from Northumbria University incorporates the Postgraduate Diploma Clinical Practice (Advanced Critical Care Practice) and Postgraduate Certificate in Advanced Clinical Skills, and is only available to Trust employees appointed into the role of Advanced Critical Care Practitioner."
Software Development,Queen's University Belfast,"9,049,500 PKR / year
1 year
This Software Development MSc programme from the Queen's University Belfast is designed in collaboration with industry to provide a year of intensive education in software development and is specifically designed for graduates of non-computing disciplines."
Egyptology,University of Liverpool,"7,856,930 PKR / year
1 year
The Egyptology programme from University of Liverpool is designed for graduates in Egyptology related disciplines, who want to deepen their knowledge of Egyptian language and/or material culture."
Biostatistics,University of Liverpool,"9,751,011 PKR / year
2 years
The Biostatistics programme from University of Liverpool is one of the largest in the UK, undertaking high-impact research in statistical genetics, pharmacogenetics, joint modelling of longitudinal and time-to-event data, multivariate data analysis, stereology, multi-source evidence synthesis and clinical trials."
Laws (Part Time),University of East Anglia,"7,436,023 PKR / year
2 years
During the Master of Laws (Part Time) from the University of East Anglia you will be given the freedom to choose any combination of LLM modules from the extensive selection offered by UEA Law School."
Theory and Practice in Clinical Psychology,University of Reading,"9,452,869 PKR / year
1 year
This Theory and Practice in Clinical Psychology  programme offered at the University of Reading provides you with a sound scientific understanding of the nature of modern clinical psychology, and can prepare you for clinical, educational, health and research careers."
"Diplomacy, Law and Global Change",Coventry University,"6,524,058 PKR / year
1 year
If you feel like the world has taken a worrying turn, an MA in Diplomacy, Law and Global Change at Coventry University could set you on the path to changing it."
Data Science Conversion,Kingston University,"3,458,452 PKR / year
1 year
Data Science Conversion from Kingston University is one of the most rapidly expanding areas of employment globally, due to fast-paced and ongoing developments in computer systems and data gathering. Large data sets are widespread in business, science and government."
"Children, Youth and International Development - Pre-Master's Programme","Birkbeck, University of London","7,008,101 PKR / year
1 year
This Children, Youth and International Development - Pre-Master's Programme from ONCAMPUS London is designed to prepare international students for postgraduate study at the Birkbeck, University of London."
Law - International Law and International Relations,University of Bristol,"9,365,180 PKR / year
1 year
The Law - International Law and International Relations programme offered by the University of Bristol is an exciting programme for students looking to pursue a career in international non-governmental organisations, government departments and international firms, or as international consultants."
Computer Animation and Visual Effects,Bournemouth University,"5,962,849 PKR / year
1 year
At the Computer Animation and Visual Effects course from Bournemouth University, you develop skills in the technical aspects of computer animation and graduate with the range and depth of knowledge necessary to become future Technical Directors, Artists or Research and Development Engineers within the computer animation and games sectors."
Computer Science,University of Hertfordshire,"5,769,933 PKR / year
1 year
This Computer Science programme from University of Hertfordshire is one of a range of advanced courses within our postgraduate masters programme in Computer Science, this particular course provides you with a specialism in software engineering."
Corporate Governance and Law,University of Portsmouth,"6,278,529 PKR / year
1 year
Develop your specialist knowledge and understanding of corporate governance, risk management, compliance and liability as you maximise your career potential on this Corporate Governance and Law course at the University of Portsmouth."
Advertising and Marketing,Coventry University,"7,032,654 PKR / year
1 year
Marketing - and advertising within it - comprise a vital and huge sector of the economy, requiring you to develop specialist skills and knowledge. By studying this Advertising and Marketing course at Coventry University, you have the chance to learn the theories, strategies and practices needed to prepare you for a career harnessing the power of marketing and advertising to drive business growth."
Law,Coventry University,"7,032,654 PKR / year
1 year
The LLM in Law at Coventry University has been designed to challenge and cultivate your knowledge of Law, and aims to provide you with opportunities to explore the complex legal framework our society is governed by."
History,Northumbria University,"6,401,294 PKR / year
1 year
Would you like to participate in a dynamic and flexible course that can be tailored to meet your interests and career aspirations? The History program at Northumbria University will introduce you to rich historical subjects, as well as how to complete historical research in the digital age."
Financial Modelling and Investment,University of Glasgow,"12,500,937 PKR / year
1 year
The Financial Modelling and Investment programme of the University of Glasgow is provided by the subject of Economics and offers training in the key areas of financial analysis, forecasting and financial investment."
Executive Master of Business Administration,The University of Edinburgh,"2,968,797 PKR / year
2 years, 4 months
This Executive Master of Business Administration programme at The University of Edinburgh is a taught programme delivered by experienced internal and visiting faculty, and complemented by guest practitioner speakers from industry and the professions."
Innovation and Social Entrepreneurship,King Stage Business School,"4,209,070 PKR / year
1 year
The Master in Innovation and Social Entrepreneurship from King Stage Business School will equip you with the knowledge and skills required to set up your own business or to contribute to the development of an existing company."
International Law,The University of Exeter,"8,523,366 PKR / year
1 year
Throughout this International Law LL.M programme from The University of Exeter, you’ll gain a comprehensive understanding of international law and pressing legal challenges that businesses face in our globalised world."
Applied Data Science and Modelling,The University of Exeter,"9,645,785 PKR / year
1 year
This Applied Data Science and Modelling MSc programme from The University of Exeter, is aimed primarily at Maths, Physics, and Computer Science graduates looking to further develop the quantitative skills required to be prepared for the “Big Data revolution” alongside applying or developing modelling skills relevant to the “Sustainability Challenges” faced by modern society."
Robotics with Artificial Intelligence,London Metropolitan University,"6,366,218 PKR / year
1 year
The Robotics with Artificial Intelligence MSc programme from London Metropolitan University, structured to give you a thorough coverage of the key hardware-software components that underpin the design and implementation of modern engineering systems, is an ideal choice if you want to learn about the growing area of robotics and intelligent systems."
"Strategic Communication, Leadership and Sustainability",University of Huddersfield,"Tuition unknown
1 year
The M.Sc. in Strategic Communication, Leadership and Sustainability at University of Huddersfield cultivates an appreciation of the crucial relationship between strategic communication and leadership."
Interpreting and Translating (Russian and German),University of Bath,"9,926,389 PKR / year
1 year
Equip yourself to work as a professional interpreter and translator on this highly respected MA in Interpreting and Translating (Russian and German) course from University of Bath, which may include a training opportunity."
Mathematics with Data Science for Industry Including Placement Year,University of Bath,"11,083,884 PKR / year
2 years
Learn about key approaches in applied maths and data science that can be integrated to solve real-world problems through this MSc in Mathematics with Data Science for Industry Including Placement Year course at University of Bath."
ELT-TESOL Studies - Pre-Master's Programme (PMP),ONCAMPUS Southampton,"8,486,537 PKR / year
1 year
The ELT-TESOL Studies - Pre-Master's Programme (PMP) at ONCAMPUS Southampton is a two-semester programme, with guaranteed progression upon successful completion of the programme to a wide range of Masters degrees at the University of Southampton."
Physics and Astronomy,University of Glasgow,"10,606,856 PKR / year
1 year
The Physics and Astronomy programme of the University of Glasgow covers a wide range of topics, including solar and plasma physics, cosmology and radio astronomy. Much of our research in solar physics concentrates on the theory, diagnostics and observation of solar flares, complementing our work in more general plasma theory and atmospheric plasmas."
Public Health with Extended Placement,University of Hertfordshire,"6,646,823 PKR / year
2 years
This Public Health with Extended Placement course from University of Hertfordshire combines the work of public health theory, practice and research, with expertise from: Life and Medical Science, Nursing and Social Work and The Business School at the University of Hertfordshire."
Clinical Pharmacy Practice with Research Project,University of Huddersfield,"6,944,965 PKR / year
1 year
The M.Sc. in Clinical Pharmacy Practice with Research Project at University of Huddersfield offers a unique blend of knowledge and training with hands-on research experience adapted for the most popular career pathways in the pharmacy profession."
Primary Education (5-11 Years) with Recommendation for QTS,Brunel University London,"6,815,185 PKR / year
1 year
The Primary Education (5-11 Years) with Recommendation for QTS programme from Brunel University London is designed to prepare you for work with pupils aged 5 to 11 years. The course covers all Key Stage 1 and 2 of National Curriculum subjects: English, mathematics and science, computing, physical education, history, geography, religious education, art, design and technology."
Graphic Design,University of Hertfordshire,"5,769,933 PKR / year
1 year
The Graphic Design degree from University of Hertfordshire sits within the PG Design programme at the School of Creative Arts. There is strong emphasis on professional practice and the real-world applications of art and design, where you will develop key research skills and gain a good understanding of the work of other practitioners in your field."
Real Estate Investment and Finance (Flexible),University of Reading,"701,512 PKR / module
2 years
The Real Estate Investment and Finance (Flexible) MSc degree from the University of Reading allows you to relate your practical knowledge to academic theory. It can develop your career prospects by giving you the capability to undertake independent real estate investment analysis. It is accredited by the Royal Institution of Chartered Surveyors."
Public Health,University of Liverpool,"9,259,953 PKR / year
1 year
Established in 1989, the Public Health degree from University of Liverpool is internationally respected for its multidisciplinary focus and commitment to the World Health Organization’s (WHO) Health for All principles."
Sports and Exercise Nutrition,Coventry University,"6,524,058 PKR / year
1 year
This Sports and Exercise Nutrition programme from Coventry University aims to foster an evidence-based approach to understanding the science and application of sports nutrition and exercise for a diverse range of individuals to improve their health, fitness or sporting performance."
Cyber Security,University of Hertfordshire,"5,769,933 PKR / year
1 year
This new version of the Cyber Security programme from University of Hertfordshire has been carefully designed to achieve appropriate levels of accreditation, and the department is currently in touch with the BCS regarding continued accreditation."
Comparative Education and International Development,University of York,"8,383,064 PKR / year
1 year
If you are a current or future teacher, researcher or a policy maker who wants to understand more about education and contemporary society then this is the Comparative Education and International Development from University of York course for you."
Experience and Service Design,University for the Creative Arts,"6,313,605 PKR / year
1 year
The University for the Creative Arts offers an innovative Experience and Service Design MA/MS program, where students can immerse themselves in the world of designing meaningful and user-centric experiences and services."
Project Management and Operations Management,University of Huddersfield,"Tuition unknown
1 year
The M.Sc. in Project Management and Operations Management at University of Huddersfield looks at the core principles of project management and business operations, including how to plan and manage complex projects effectively, helping prepare you for a career in a variety of project management roles."
Environmental Law - Full-time (Online),The University of Law,"3,981,078 PKR / year
1 year
The Environmental Law - Full-time (Online) programme is offered by The University of Law."
Data Science and Artificial Intelligence,University of Liverpool,"10,101,767 PKR / year
1 year
The Data Science and Artificial Intelligence programme from University of Liverpool is a conversion master's, designed for students who have a first degree in a subject other than Computer Science (or a subject closely related to Computer Science), who wish to develop their knowledge and skills to start a career in the Data Science and Artificial Intelligence Industry."
Film (Documentary),University of South Wales,"5,243,799 PKR / year
1 year
This Film (Documentary)s degree from University of South Wales is all about telling human stories through film. Working with top industry practitioners and alongside BBC Wales’ training scheme It’s My Shout, you will learn the importance of storytelling, self-shooting and single camera 'guerilla' filmmaking."
Surveying (Quantity Surveying),Northumbria University,"3,493,528 PKR / year
2 years
Build your future with our distance learning Quantity Surveying MSc. Accredited by the Royal Institution of Chartered Surveyors (RICS), the Surveying (Quantity Surveying) course from Northumbria University will teach you all you need to know to succeed in this competitive industry."
Statistics,University of Glasgow,"11,175,080 PKR / year
1 year
The Statistics programme of the University of Glasgow will provide you with knowledge and experience of the principles, theory and practical skills of statistics."
Advanced Computer Science with Advanced Practice,Northumbria University,"7,979,695 PKR / year
2 years
Designed to meet the needs of industry, the Advanced Computer Science with Advanced Practice programme from Northumbria University will help you to build on your computing experience and develop cutting-edge IT skills."
Clinical Dentistry (Prosthodontics),Cardiff University,"17,783,320 PKR / year
3 years
The Clinical Dentistry (Prosthodontics) programme at Cardiff University was designed to aid in developing evidence based practice and develop advanced clinical skills to enable you to become a mono-specialist in fixed and removable Prosthodontics."
Corporate Governance Grad CG - Part-time,The University of Law,"2,981,424 PKR / year
2 years
Students who successfully complete this master's award LLM Corporate Governance Grad CG - Part-time from The University of Law are also eligible for GradCG membership."
Translation and Professional Language Skills (Russian and Italian),University of Bath,"9,295,029 PKR / year
1 year
The Translation and Professional Language Skills (Russian and Italian) degree offered at University of Bath will help you prepare for a career in specialist language work including translation, editing and précis-writing."
Environmental Futures,University of Leicester,"6,909,889 PKR / year
1 year
This Environmental Futures course at the University of Leicester is for you if you want to develop critical, applied understanding of contemporary environmental challenges and prospective solutions, drawing on theories, approaches and methods from across Geography and Earth Sciences."
Forensic Psychology,University of Portsmouth,"6,734,512 PKR / year
1 year
If you want to apply what you learned through your undergraduate psychology studies to the field of offender behaviour, then this Master's in Forensic Psychology from University of Portsmouth will give you the knowledge and skills to work in the criminal justice system, or train to become a qualified forensic psychologist."
International Law and Security,University of Glasgow,"9,501,975 PKR / year
1 year
This International Law and Security course from University of Glasgow is an innovative programme that focuses on the role and relevance of international law in a rapidly changing global security environment. It reflects the breadth of contemporary international security issues, addressing issues as diverse as terrorism, armed conflicts and transnational organised crime."
Renewable Energy Engineering,Brunel University London,"8,768,895 PKR / year
1 year
The Renewable Energy Engineering programme from Brunel University London gives graduates and engineering professionals interested in finding sustainable solutions to climate change and energy security the theoretical and practical skills needed to pursue careers in the growing field of renewable energy technology."
Stained Glass Conservation and Heritage Management,University of York,"8,383,064 PKR / year
2 years
The Stained Glass Conservation and Heritage Management programme from University of York will give you practical experience with up-to-date conservation techniques, and an opportunity to work with leading conservation studios, museums and heritage institutions in Britain, Europe and the United States."
Mental Health - Research and Practice,University of Nottingham,"9,207,340 PKR / year
1 year
Our Mental Health - Research and Practice programme of the University of Nottingham will provide you with a balance between learning the latest theories, models and approaches in mental health and developing the skills needed to conduct key research in the field."
International Public Relations and Global Communications Management,Cardiff University,"7,962,157 PKR / year
1 year
Prepare for your future as a public relations (PR) professional through a mix of practice, theory and academic study, all while deepening your understanding of the PR practitioner’s role, and the strategic and operational contributions we make to organisations."
Clinical Dentistry (Endodontology),Cardiff University,"17,783,320 PKR / year
3 years
The Clinical Dentistry (Endodontology) programme at Cardiff University was designed to aid in developing evidence based practice and develop advanced clinical skills to enable you to become a mono-specialist in Endodontology."
Artificial Intelligence,Queen's University Belfast,"9,049,500 PKR / year
1 year
In the last decade the advances in Artificial Intelligence have made it at the forefront of technology, with many advances improving our daily lives. Learn more with Artificial Intelligence from Queen's University Belfast."
"Film, Television and Creative Practice (Part time)",University of East Anglia,"7,436,023 PKR / year
2 years
This Film, Television and Creative Practice (Part time) course at the University of East Anglia is for you if you love to be creative and you’re brimming with ideas and concepts – but you want to understand the theory behind your passions too."
Renewable Energy Engineering,Brunel University London,"8,768,895 PKR / year
1 year
The Renewable Energy Engineering programme from Brunel University London gives graduates and engineering professionals interested in finding sustainable solutions to climate change and energy security the theoretical and practical skills needed to pursue careers in the growing field of renewable energy technology."
Safety Critical Systems Engineering,University of York,"10,312,221 PKR / year
1 year
This Safety Critical Systems Engineering course from University of York will provide you with the educational background required to become a leader in the field of safety critical systems engineering, whether you are currently a practising - or aspiring - professional in this area."
International Business,University of Greenwich,"6,059,307 PKR / year
1 year
Even if you don’t have a first degree in business, this Master’s in International Business at University of Greenwich will give you a grounding in business management and insight into business network analysis."
Corporate Sustainability and Environmental Management,University of York,"8,383,064 PKR / year
1 year
This specialist Corporate Sustainability and Environmental Management programme from University of York will equip you with essential theoretical and evidential foundations and help you to develop relevant practical and professional skills from which you can build or accelerate a career in the field of corporate sustainability."
Information and Technology,Leeds Beckett University,"6,138,227 PKR / year
1 year
Designed to address the government's ambition of filling the current digital skills gap, this Information and Technology course from Leeds Beckett University will provide you with the specialist IT skills set required to succeed in industry."
Law,University of Glasgow,"9,501,975 PKR / year
1 year
The Law programme of the University of Glasgow provides a challenging general legal education at graduate level."
Computer Science (Conversion) - Full time,The University of Law,"5,962,849 PKR / year
1 year
The MSc Computer Science (Conversion) - Full time programme from The University of Law is designed for those who do not have a computing background upon entry, but who are looking to learn and understand more about how computing tools, techniques and methods can be utilised in practical scenarios."
Business Analytics - Pre-Master’s Programme,ONCAMPUS Aston,"7,144,896 PKR / year
1 year
The Business Analytics - Pre-Master’s Programme at ONCAMPUS Aston  is a two semester programme, with guaranteed progression* to a wide range of Master’s degrees at Aston University. You will study your Master's programme at our Centre located at the heart of Aston University campus."
International Commercial Law - Pre-Master’s Programme,ONCAMPUS Aston,"7,144,896 PKR / year
1 year
The International Commercial Law - Pre-Master’s Programme at ONCAMPUS Aston  is a two semester programme, with guaranteed progression* to a wide range of Master’s degrees at Aston University. You will study your Master's programme at our Centre located at the heart of Aston University campus."
Musculoskeletal Physiotherapy,Coventry University,"6,524,058 PKR / year
1 year
The MSc in Musculoskeletal Physiotherapy course at Coventry University is aimed at fully qualified, experienced practitioners who want to make a difference to clinical practice and work in senior clinical roles."
Design Administration (Distance),Cardiff University,"9,891,314 PKR / year
2 years
The aim of the Design Administration (Distance) programme at Cardiff University is to provide students with in-depth knowledge and understanding of the management and legal aspects of design, and the skills necessary to successfully administer the procurement of design services and building projects."
Women's Studies (Humanities),University of York,"8,383,064 PKR / year
1 year
The Women’s Studies (Humanities) MA course from the University of York is a tailored programme for those with a particular interest in humanities-informed approaches to interdisciplinary women’s and gender studies."
Logistics and Supply Chain Management - Pre-Master’s Programme,University of Hull,"5,608,585 PKR / year
1 year
The Logistics and Supply Chain Management - Pre-Master’s Programme  at ONCAMPUS Hull is a two semester programme, with guaranteed progression* to a wide range of Business-related Master’s degrees at the University of Hull. You will study your Master's programme at our Centre located at the heart of the University of Hull campus."
Music Industry Management and Promotion,University of Central Lancashire (UCLan),"5,927,773 PKR / year
1 year
If you have ambitions to make it big in the music business then this Music Industry Management and Promotion course from University of Central Lancashire (UCLan) will give you the knowledge and industry experience you need to manage your own career and commercialise your activities."
Translation and Professional Language Skills (Russian and Spanish),University of Bath,"9,295,029 PKR / year
1 year
With the Translation and Professional Language Skills (Russian and Spanish) degree offered at University of Bath you will gain the sought-after skills you need for a career in specialist language work on this practical and respected master’s course."
Secondary Education - Mathematics,University of Wolverhampton,"5,243,799 PKR / year
1 year
The Secondary Education - Mathematics programme offered by the University of Wolverhampton provides a high standard of training for those preparing to take up a teaching post in the secondary school sector.  The course complies with the statutory guidance from the Department for Education for Initial Teacher Training courses."
Renewable Energy Systems Technology (Distance Learning),Loughborough University,"10,084,230 PKR / year
2 years
This award-winning, part-time, online distance learning Renewable Energy Systems Technology (Distance Learning) programme from Loughborough University  offers you flexibility in terms of place, pace and learning mode."
Antiquity - Classics and Ancient History Pathway,University of Birmingham,"8,460,230 PKR / year
1 year
Immerse yourself in the advanced study of Greco-Roman civilisation with the Antiquity - Classics and Ancient History Pathway programme from University of Birmingham."
Iranian Studies,University of St Andrews,"9,077,560 PKR / year
1 year
The MLitt in Iranian Studies from University of St Andrews offers students the opportunity to study the history, politics and international relations of Iran in a diverse and intellectually stimulating way."
Mechanical Engineering,University of Portsmouth,"6,734,512 PKR / year
4 years
With huge technological advances taking place in areas of transport, energy, healthcare and robotics, studying mechanical engineering at the M.Eng. in Mechanical Engineering from the University of Portsmouth can put you in a position to influence the future of global industries."
International Business,University of Greenwich,"6,059,307 PKR / year
1 year
Even if you don’t have a first degree in business, this Master’s in International Business at University of Greenwich will give you a grounding in business management and insight into business network analysis."
Corporate Sustainability and Environmental Management,University of York,"8,383,064 PKR / year
1 year
This specialist Corporate Sustainability and Environmental Management programme from University of York will equip you with essential theoretical and evidential foundations and help you to develop relevant practical and professional skills from which you can build or accelerate a career in the field of corporate sustainability."
Molecular Genetics and Diagnostics,University of Nottingham,"10,031,616 PKR / year
1 year
This Molecular Genetics and Diagnostics degree at the University of Nottingham explores the molecular genetic basis of disease, from both human and pathogen perspectives."
Statistics,University of Nottingham,"8,856,584 PKR / year
1 year
The Statistics MSc from University of Nottingham will provide you with the essential knowledge and skills relevant for a career as a professional statistician or researcher.."
Statistics and Applied Probability,University of Nottingham,"8,418,139 PKR / year
1 year
During your Statistics and Applied Probability MSc at the University of Nottingham, you will study two compulsory modules in Fundamentals of Statistics and Stochastic Models. They provide the basis for the remaining optional modules."
Psychology,University of Bath,"7,856,930 PKR / year
1 year
The Psychology degree offered at University of Bath will enable you to conduct supervised research into your chosen topic and produce a written thesis (typically up to 70,000 words). You can complete the MPhil in 1 to 3 years (full-time) or up to 4 years (part-time)."
Philosophy,University of Bristol,"9,926,389 PKR / year
1 year
The MA in Philosophy at the University of Bristol will give you a thorough grounding in the core knowledge and skills required for philosophical research, while also allowing you to pursue your own philosophical interests in depth."
Health Economics and Health Policy Analysis,University of Bristol,"10,978,657 PKR / year
1 year
The Health Economics and Health Policy Analysis programme from University of Bristol can enable decision makers to improve resource use and service delivery across health and care systems."
"Diplomacy, International Politics and Trade",Loughborough University,"8,593,517 PKR / year
1 year
The Diplomacy, International Politics and Trade programme from Loughborough University focuses on the skills, knowledge and understanding needed to operate professionally across cultures as well as time zones."
Dental Materials Science,University of Birmingham,"10,291,175 PKR / year
1 year
This Dental Materials Science programme from University of Birmingham provides a foundation in key materials science principles and training skills for successful research and publication, towards the development of the next generation of materials and processes."
Data Science,University of York,"10,312,221 PKR / year
1 year
This Data Science MSc course from the University of York will equip you with the skills needed to solve data science questions in different fields of science, and to be agile enough to adapt to new fields and challenges as economic and scientific demands change."
Investigative Psychology,University of Huddersfield,"6,173,302 PKR / year
1 year
The M.S. in Investigative Psychology at University of Huddersfield explores the application of psychological principles to diverse aspects of the analysis, investigation and legal processing of crime."
Transnational Queer Feminist Politics,SOAS University of London,"8,881,137 PKR / year
1 year
The Transnational Queer Feminist Politics at SOAS University of London is a unique programme, its principal aim being to re-focus issues prioritised in western Gender Studies and the study of sexuality on the complex specificities of Asia, Africa and the Near and Middle East."
International Business and Sustainability,King Stage Business School,"4,209,070 PKR / year
1 year
This International Business and Sustainability programme from King Stage Business School is designed for individuals with an interest in sustainability within international business."
Foundations of Clinical Psychology and Mental Health,University of Sussex,"8,768,895 PKR / year
1 year
Foundations of Clinical Psychology and Mental Health degree offered at the University of Sussex will help you gain a broad understanding of mental health service provision."
Contemporary Literature and Culture - Pre-Master Programme,Loughborough University,"8,165,595 PKR / year
1 year
The Level 6 Contemporary Literature and Culture - Pre-Master Programme at ONCAMPUS Loughborough is a two-semester programme with guaranteed progression* to a wide range of Master’s degrees at Loughborough University."
Software Engineering with Advanced Research,University of Hertfordshire,"6,646,823 PKR / year
2 years
The Software Engineering with Advanced Research program from University of Hertfordshire is designed for computer science graduates and has been popular with those looking to specialise in Software Engineering and progress their career in this direction."
Law with Work Experience,University of Hertfordshire,"6,296,067 PKR / year
2 years
Perhaps you would like to study Law, but you haven’t yet managed to find the course that ‘feels’ just right for you. The Law with Work Experience program from University of Hertfordshire is the solution you have been looking for! It is designed for ultimate flexibility and focus, to fit your own unique needs, interests and aspirations."
Finance and Economics - Pre-Master's Programme (PMP),ONCAMPUS Southampton,"8,486,537 PKR / year
1 year
The Finance and Economics - Pre-Master's Programme (PMP) at ONCAMPUS Southampton is a two-semester programme, with guaranteed progression upon successful completion of the programme to a wide range of Master’s degrees at the University of Southampton."
Finance and Accounting,University of Wolverhampton,"5,594,555 PKR / year
1 year
The MSc Finance and Accounting at University of Wolverhampton is aimed at providing you with an in-depth grounding for your professional and/or academic career in finance, business and accounting. Previous students studying this course have taken up appointments in large financial institutions, national government departments and international banks."
Veterinary Medicine,University of Nottingham,"14,380,988 PKR / year
4 years
Develop your skills and understanding of the latest Veterinary Medicine research at University of Nottingham."
Film Curating - Pre-Master's Programme,"Birkbeck, University of London","7,008,101 PKR / year
1 year
This Film Curating - Pre-Master's Programme from ONCAMPUS London is designed to prepare international students for postgraduate study at Birkbeck, University of London."
"Leadership, Communication and Humanitarian Challenges",University of Huddersfield,"6,173,302 PKR / year
1 year
The M.Sc. in Leadership, Communication and Humanitarian Challenges at University of Huddersfield cultivates an appreciation of the crucial relationship between strategic communication and leadership."
Finance and Economics - Pre-Master's Programme (PMP),ONCAMPUS Southampton,"8,486,537 PKR / year
1 year
The Finance and Economics - Pre-Master's Programme (PMP) at ONCAMPUS Southampton is a two-semester programme, with guaranteed progression upon successful completion of the programme to a wide range of Master’s degrees at the University of Southampton."
Education Management and Leadership - Master's Foundation Programme (MFP),ONCAMPUS Southampton,"8,233,993 PKR / year
1 year
The Education Management and Leadership - Master's Foundation Programme (MFP) at ONCAMPUS Southampton is a two-semester programme, with guaranteed progression upon successful completion of the programme to a wide range of Masters degrees at the University of Southampton."
Finance and Accounting,University of Wolverhampton,"5,594,555 PKR / year
1 year
The MSc Finance and Accounting at University of Wolverhampton is aimed at providing you with an in-depth grounding for your professional and/or academic career in finance, business and accounting. Previous students studying this course have taken up appointments in large financial institutions, national government departments and international banks."
Clinical Education,The University of Exeter,"9,645,785 PKR / year
1 year
Within this Clinical Education MSc programme from The University of Exeter, you’ll look at clinical education from a new and practical standpoint, based on the reality of delivering clinical education in modern healthcare environments."
Publishing,Edinburgh Napier University,"5,994,417 PKR / year
1 year
This Publishing MSc programme from Edinburgh Napier University is the ‘standard bearer for publishing education in the UK’ and will open doors for you"
Clinical Oncology (Part Time),University of Birmingham,"5,145,588 PKR / year
Duration unknown
Aiming to allow you to understand the research process, this programme draws on examples from within this renowned research Institute and its associated Clinical Trials Unit. A key part of this Clinical Oncology (Part Time) programme from University of Birmingham is the planning, execution and reporting of a piece of independent study leading to submission of a dissertation."
Building Surveying,Kingston University,"5,927,773 PKR / year
1 year
The Building Surveying course at Kingston University focuses on the skills of the building surveyor operating within the construction industry."
International Security,University of Bath,"9,295,029 PKR / year
1 year
Explore the fast-changing and multi-faceted subject of international security. Learn about topics including cybersecurity, counterterrorism and peacekeeping with this International Security degree offered at University of Bath."
Secondary Education - Biology,University of Wolverhampton,"5,243,799 PKR / year
1 year
The Secondary Education - Biology offered by the University of Wolverhampton provides a high standard of training for those preparing to take up a teaching post in the secondary school sector. The course complies with the statutory guidance from the Department for Education for Initial Teacher Training courses."
Photography,University of the West of England (UWE Bristol),"4,489,674 PKR / year
1 year, 3 months
Taught by award-winning professional photographers and leading academics in the field, our distinctive, practice-based Photography course at University of the West of England (UWE Bristol) will allow you to explore the diverse applications of the medium, and to deepen your understanding of photography as a discipline."
Digital Business,University of Westminster,"5,962,849 PKR / year
1 year
The MSc Digital Business degree from the University of Westminster draws on the University’s established expertise in the area of digital business, which includes our dedicated Centre for Digital Business Research, which conducts cutting-edge research into the theory, methods and technologies underpinning the digital transformation of modern 21st century enterprises."
Software Engineering with Advanced Research,University of Hertfordshire,"6,646,823 PKR / year
2 years
The Software Engineering with Advanced Research program from University of Hertfordshire is designed for computer science graduates and has been popular with those looking to specialise in Software Engineering and progress their career in this direction."
Law with Work Experience,University of Hertfordshire,"6,296,067 PKR / year
2 years
Perhaps you would like to study Law, but you haven’t yet managed to find the course that ‘feels’ just right for you. The Law with Work Experience program from University of Hertfordshire is the solution you have been looking for! It is designed for ultimate flexibility and focus, to fit your own unique needs, interests and aspirations."
Contemporary Literature and Culture - Pre-Master Programme,Loughborough University,"8,165,595 PKR / year
1 year
The Level 6 Contemporary Literature and Culture - Pre-Master Programme at ONCAMPUS Loughborough is a two-semester programme with guaranteed progression* to a wide range of Master’s degrees at Loughborough University."
Human Resource Management,The University of Edinburgh,"10,487,599 PKR / year
1 year
The MSc in Human Resource Management from The University of Edinburgh will give you the knowledge, understanding and key skills that are required by today’s HR professionals and to enable you to effectively contribute to dynamic organisations."
International Banking and Finance,Glasgow Caledonian University,"6,594,209 PKR / year
1 year
Throughout this International Banking and Finance MSc programme from Glasgow Caledonian University you'll learn how to apply financial theories to the real world with help from academic and industry experts."
